bulan,kecamatan,kelurahan,rata_rata_ketinggian_air,lama_genangan,rw_terdampak,kk_terdampak,jiwa_terdampak,korban_meninggal,korban_hilang,korban_luka_berat,korban_luka_ringan,jumlah_jiwa_pengungsi_tertinggi,jumlah_tempat_pengungsian,jumlah_nilai_kerugian
01,35,124, 10 - 400  ,15,2414,506164,1226487,38,0,0,0,83554,1115,0
02,15,34, 10 - 175  ,8,207,19177,46865,0,0,0,0,740,21,0
03,5,9, 10 - 250  ,2,68,9215,27020,0,0,0,0,2406,34,0
04,10,16, 10 - 100  ,4,66,6004,15060,0,0,0,0,318,7,0
05,10,16, 0 - 160  ,3,139,4740,18481,0,0,0,0,1245,42,0
06,3,4, 0 - 150  ,7,37,0,0,0,0,0,0,,0,0
07,6,10, 10 - 180  ,4,56,8270,22537,0,0,0,0,443,8,0
08,7,12, 20 - 300  ,3,55,11735,32427,0,0,0,0,536,12,0
09,,,,,,,,,,,,,,0
10,5,5, 20 - 100  ,3,16,1969,5420,0,0,0,0,0,0,0
11,9,16, 10 - 100  ,6,87,6491,18367,2,0,0,0,86,8,0
12,11,17, 10 - 200  ,4,78,4584,13814,0,0,0,0,1585,3,0
bulan,kecamatan,kelurahan,rata_rata_ketinggian_air,lama_genangan,rw_terdampak,kk_terdampak,jiwa_terdampak,korban_meninggal,korban_hilang,korban_luka_berat,korban_luka_ringan,jumlah_jiwa_pengungsi_tertinggi,jumlah_tempat_pengungsian,jumlah_nilai_kerugian
01,37,125, 10 - 400 ,20,634,70459,245950,23,0,0,0,122417,434,0
02,21,45, 10 - 300 ,20,192,56489,164940,0,0,0,0,38340,129,0
03,8,18, 10 - 200 ,8,89,4925,15098,0,0,0,0,3479,16,0
04,3,3, 10 - 150 ,2,11,1560,3553,0,0,0,0,0,0,0
05,2,3, 10 - 200 ,4,16,2535,6327,0,0,0,0,0,0,0
06,1,1, 30 - 200 ,1,7,2775,9335,0,0,0,0,0,0,0
07,8,12, 10 - 200 ,3,41,4808,15299,0,0,0,0,38,2,0
08,3,6, 30 - 150 ,2,21,2028,4327,0,0,0,0,600,5,0
09,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,12,18, 20 - 400 ,11,57,13127,42637,0,0,0,0,2634,18,0
12,12,21, 10 - 200 ,5,68,5604,18887,0,0,0,0,219,5,0
bulan,kecamatan,kelurahan,rata_rata_ketinggian_air,lama_genangan,rw_terdampak,kk_terdampak,jiwa_terdampak,korban_meninggal,korban_hilang,korban_luka_berat,korban_luka_ringan,jumlah_jiwa_pengungsi_tertinggi,jumlah_tempat_pengungsian,jumlah_nilai_kerugian
01,15,36,10 - 150 ,2,221,6095,13073,0,0,0,0,3255,59,0
02,38,133,10 - 200 ,7,615,64458,231566,5,0,0,0,41202,337,0
03,12,15,10 - 200 ,4,30,2869,8119,0,0,0,0,822,5,0
04,4,6,20 - 100 ,3,18,2235,7905,0,0,0,0,0,0,0
05,1,1,20 - 100 ,1,7,423,2088,0,0,0,0,0,0,0
06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,7,11,20 - 300 ,4,36,3858,13195,0,0,0,0,534,8,0
12,12,15, 10 - 60,4,28,1698,6192,0,0,0,0,0,0,0
bulan,kecamatan,kelurahan,rata_rata_ketinggian_air,lama_genangan,rw_terdampak,kk_terdampak,jiwa_terdampak,korban_meninggal,korban_hilang,korban_luka_berat,korban_luka_ringan,jumlah_jiwa_pengungsi_tertinggi,jumlah_tempat_pengungsian,jumlah_nilai_kerugian
01,8,13,Oct-80,2,26,1020,3853,0,0,0,0,0,0,0
02,25,70,5 -200,2,231,20593,70218,0,0,0,0,1137,45,0
03,14,32,5-300,2,93,16145,51234,0,0,0,0,2192,27,0
04,18,44,5-360,2,134,7833,27607,0,0,0,0,2945,40,0
05,10,14,5-200,1,26,1496,6271,0,0,0,0,0,0,0
06,11,24,May-90,2,49,1424,6025,0,0,0,0,2,0,0
07,15,26,10-190,2,59,3060,8068,0,0,0,0,183,6,0
08,13,26,10 - 120,2,82,11671,31921,2,0,0,0,198,4,0
09,16,31,5 - 170,2,72,5041,15331,0,0,0,0,751,9,0
10,11,20,10 - 100,2,53,1160,3840,0,0,0,0,0,0,0
11,15,29,5 - 150,2,80,2148,8209,0,0,0,0,352,3,0
bulan,kecamatan,kelurahan,rata_rata_ketinggian_air,lama_genangan,rw_terdampak,kk_terdampak,jiwa_terdampak,korban_meninggal,korban_hilang,korban_luka_berat,korban_luka_ringan,jumlah_jiwa_pengungsi_tertinggi,jumlah_tempat_pengungsian,jumlah_nilai_kerugian
01,4,5,10-70,2,7,n.a,n.a,0,0,0,0,0,0,n.a
02,31,67,10-250,5,216,6967,19325,6,0,0,0,5858,45,n.a
03,20,40,0-160,3,95,3232,10166,0,0,0,0,1870,27,n.a
04,19,33,10-200,1,78,621,2131,0,0,0,0,753,40,n.a
05,15,25,5-120,2,48,1056,3420,0,0,0,0,20,0,n.a
06,4,5,10-110,1,17,1409,4547,0,0,0,0,0,0,n.a
07,6,8,10-80,1,22,251,705,0,0,0,0,0,6,n.a
08,5,6,10-80,1,13,n.a,n.a,0,0,0,0,0,4,n.a
09,1,1,10-80,1,2,n.a,n.a,0,0,0,0,0,9,n.a
10,8,11,10-105,3,25,15,n.a,0,0,0,0,0,0,n.a
11,17,37,10-150,2,86,1935,6505,0,0,0,0,564,3,n.a
12,19,26,10-70,2,51,131,404,0,0,0,0,35,0,n.a
bulan,kecamatan,kelurahan,rata_rata_ketinggian_air,lama_genangan,rw_terdampak,kk_terdampak,jiwa_terdampak,korban_meninggal,korban_hilang,korban_luka_berat,korban_luka_ringan,jumlah_jiwa_pengungsi_tertinggi,jumlah_tempat_pengungsian,jumlah_nilai_kerugian
01,5,8,5-40,1 s/d 2 ,25,0,0,0,0,0,0,0,0,n.a
02,24,43,5-300,1 s/d 6 ,162,5467,19456,1,0,1,0,15558,60,n.a
03,6,8,10-100,1,21,303,1000,0,0,0,0,0,0,n.a
04,6,8,5-90,1,19,300,988,0,0,0,0,0,0,n.a
05,8,17,10-150,1,47,214,716,0,0,0,0,69,2,n.a
06,5,8,10-100,1,18,328,1068,0,0,0,0,0,0,n.a
07,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a
08,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a
09,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a
10,4,5,10-80,1,13,387,1001,0,0,0,0,0,0,n.a
11,11,16,5-100,1,28,1848,7597,0,0,0,0,0,0,n.a
12,14,22,3-100,1,38,244,877,0,0,0,0,0,0,n.a
bulan,kecamatan,kelurahan,rata_rata_ketinggian_air,lama_genangan,rw_terdampak,kk_terdampak,jiwa_terdampak,korban_meninggal,korban_hilang,korban_luka_berat,korban_luka_ringan,jumlah_jiwa_pengungsi_tertinggi,jumlah_tempat_pengungsian,jumlah_nilai_kerugian
01,14,31,10 s.d 70 cm,2 hari,58,135,453,0,0,0,0,0,0,n.a
02,15,25,10 s.d 135 cm ,1 hari,43,398,1186,0,0,0,0,0,0,n.a
03,23,43,10 s.d 100 cm,2 hari,119,315,1010,0,0,0,0,85,2,n.a
